SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
A3;468;Vračka zijalka;5,2- vodoravna jama;589;20;81;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;4;4,50;6,50;8,50;9,25;;;;;;
A3;469;Spodnja stopenca;5,1- spodmol, kevderc;279;22;101;10-12;1200-1300;10-12;1100-1200;1;2,10;;;;;;0;;;;;;;;;;
A3;471;Črna jama;4,2- jama s stalnim tokom;530;39;3294;8-10;1800-2000;8-10;1800-2000;3;1,58;2,45;2,97;;;;2;6,05;6,50;;;;;;;;
A4;472;Pivka jama;4,2 - jama s stalnim tokom;539,8;77;5766;8-10;1800-2000;8-10;1800-2000;2;2,45;2,97;;;;;1;5,9;;;;;;;;10,9;
A4;473;betalov spodmol;5,2  - vodoravna jama;532;4;174;8-10;1800-2000;8-10;1600-1800;1;1,86;;;;;;0;;;;;;;;;10,9;
A4;475;drskovška golobina;5,3  - brezno z jamo, jama z  breznom, poševna jama, jamaz etažami in brezni/več etažna jama;564;17;107;8-10;1600-1800;8-10;1600-1800;1;1,8;;;;;;0;;;;;;;;;10,9;
A4;478;huda luknja pri letušu;5,2 - vodoravna jama;325;8;40;8-10;1300-1400;8-10;1300-1400;0;;;;;;;1;4,5;;;;;;;;12,1;
A4;479;lesjakova štabirnica;5,3 - brazno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;642;17;26;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;4;4,5;6,5;8,5;9,25;;;;;12,1;
A4;480;Žrelo nad Radno;5,1 - spodmol, kevderc;240;4;13;10-12;1200-1300;10-12;1100-1200;1;2,1;;;;;;1;5;;;;;;;;11,8;
A4;482;Škadavnica;5,2 - vodoravna jama;491;16;41;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;1;4,5;;;;;;;;10,2;
A4;483;Jerekov brlog;5,2 - vodoravna jama;753;15;90;6-8;1500-1600;6-8;1500-1600;1;2,97;;;;;;3;4,5;8;8,5;;;;;;10,2;
A4;484;Krapljetova jama;5,2 - vodoravna jama;854;17;68;6-8;1500-1600;8-10;1500-1600;1;2,97;;;;;;3;4,5;8;8,5;;;;;;10,2;
A4;486;Covška prepad;5,6 - poševno in stopnjasto brezno;758;31;71;6-8;1400-1500;8-10;1400-1500;2;2,2;2,97;;;;;1;4,5;;;;;;;;10,2;
A4;487;Habečkov brezen;5,4 - brezno;668;476;1402;8-10;2000-2600;8-10;2000-2600;1;1,77;;;;;;0;;;;;;;;;8,2;
A4;488;Golobeja jama;5,3 - brazno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;660;33;92;8-10;2000-2600;8-10;2000-2600;1;3,65;;;;;;3;5,55;6;7,5;;;;;;8,2;
A4;492;Požiralnik 1 v Škofovem lomu;2,2 - jama občasni ponor;443;28;158;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;5,8;;;;;;;;11,2;
A4;493;Ciganska jama pri Predgrižah;5,3 - brazno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;681;91;227;8-10;2000-2600;8-10;2000-2600;2;1,77;2,97;;;;;3;5,55;6;7,5;;;;;;8,2;
A4;496;Lomski brlog;5,2 - vodoravna jama;750;6;34;6-8;1400-1500;8-10;1400-1500;1;2,97;;;;;;0;;;;;;;;;10,2;
A4;502;Štabirnica;5,2 - vodoravna jama;1004;13;66;6-8;1500-1600;6-8;1500-1600;1;2,97;;;;;;0;;;;;;;;;10,2;
A4;505;Urhova jama;5,6 - poševno in stopnjasto brezno;465;17;17;8-10;1600-1800;8-10;1400-1500;1;2,95;;;;;;0;;;;;;;;;(cerklje na gorenjskem) 4.8;
A4;509;Špehovka;5,2 - vodoravna jama;637;7;91;8-10;1300-1400;8-10;1200-1300;1;2,2;;;;;;0;;;;;;;;;10,2;
A4;513;Farška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;670;20;54;6-8;1600-1800;6-8;1600-1800;2;1,84;2,45;;;;;1;7,25;;;;;;;;;
A4;516;Pistišekova povšna;4,2 - jama s stalnim tokom ;385;26;140;8-10;1200-1300;8-10;1100-1200;1;2,5;;;;;;0;;;;;;;;;;
A4;517;Levakova jama;1,3 - jama občasni izvir ob stalnem toku;208;20;350;10-12;1200-1300;10-12;1200-1300;1;1,99;;;;;;0;;;;;;;;;;
A4;518;Kostanjeviška jama;4,3 - jama z občasnim tokom;170;47;1871;10-12;1200-1300;10-12;1200-1300;1;1,99;;;;;;1;5,55;;;;;;;;;
A4;520;Pilanca;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;646;56;252;8-10;1300-1400;8-10;1200-1300;1;2,2;;;;;;0;;;;;;;;;;
A4;521;Jama pod južnim vrhom Tisnika;5,2 - vodoravna jama;728;1;25;8-10;1300-1400;8-10;1200-1300;1;2,2;;;;;;0;;;;;;;;;;
