SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
B2;974;Jelenca;5,6 - poševno in stopnjasto brezno;270;74;177;10-12;1500-1600;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B2;975;Brezno pri Fortunčevi planini;5,5 - stopnjasto brezno, poševno brezno;870;0;0;6-8;2000-2600;6-8;1800-2000;1;2,50;;;;;;0;;;;;;;;;;
B2;976;Snežna jama na Obranci;6,1 - jama s stalnim ledom;1109;20;72;4-6;2000-2600;4-6;1800-2000;2;2,50;2,88;;;;;1;5,85;;;;;;;;;
B2;977;Brlovka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;613;61;112;8-10;1800-2000;8-10;1600-1800;2;2,97;3,25;;;;;2;5,90;6,50;;;;;;;;
B2;983;Jama v Štrfu;5,1 - spodmol, kevderc;1254;7;45;4-6;2000-2600;4-6;2000-2600;2;1,88;5;;;;;0;;;;;;;;;;
B2;993;Blatna jama na Zgornji Lenčajski cesti;5,2 - vodoravna jama;1200;15;94;4-6;2000-2600;4-6;2000-2600;4;1,76;1,88;2,97;5;;;0;;;;;;;;;;
B2;1008;Jama pod cesto;5,2 - vodoravna jama;577;19;105;8-10;1800-2000;8-10;1600-1800;1;1,76;;;;;;0;;;;;;;;;;
B2;1012;Lenčkova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;94;959;8-10;2000-2600;8-10;1800-2000;1;1,58;;;;;;1;7,5;;;;;;;;;
B3;1015;Jama za Ravnicami;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;625;22;65;8-10;1800-2000;8-10;1800-2000;1;1,73;;;;;;1;7,5;;;;;;;;10.085;
B3;1023;Jama pod Gavgami;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;487;72;315;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;12.285;
B3;1032;Klet;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1375;5;20;4-6;2600-3200;6-8;2600-3200;1;3,32;;;;;;0;;;;;;;;;-0,445;
B3;1035;Kavkna jama;4,3 - jama z občasnim tokom, 5,4 - brezno;1360;12;45;4-6;2600-3200;6-8;2600-3200;0;;;;;;;1;6,15;;;;;;;;-0,445;
B3;1036;Mohorica;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;660;46;140;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;6,5;;;;;;;;10.085;
B3;1037;Pekel 1 pri Ponikvah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;35;50;8-10;1800-2000;8-10;1600-1800;2;2,45;2,97;;;;;0;;;;;;;;;10.085;
B3;1038;Pekel 2 pri Ponikvah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;635;28;70;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;10.085;
B3;1039;Jama v podorni vrtači pri Prestranku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;569;6;62;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;10.085;
B3;1051;Brezno pri Turenču;5,5 - stopnjasto brezno, poševno brezno;580;13;19;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;10.085;
B3;1055;Slugova jama;5,2 - vodoravna jama;210;13;116;8-10;1200-1300;10-12;1300-1400;1;5;;;;;;0;;;;;;;;;11.295;
B3;1057;Tončkova povšna;5,6 - poševno in stopnjasto brezno;290;45;45;8-10;1300-1400;10-12;1300-1400;1;5;;;;;;0;;;;;;;;;11.295;
B3;1073;Spodmol pri podorni vrtači;5,1 - spodmol, kevderc;570;7;7;8-10;1800-2000;8-10;1600-1800;1;2,45;;;;;;0;;;;;;;;;10.085;
B3;1074;Markandelov spodmol;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;575;14;59;8-10;1800-2000;8-10;1600-1800;2;1,9;2,97;;;;;0;;;;;;;;;10.085;
B3;1075;Dacarjevo brezno;4,4 - brezno s stalnim tokom;590;19;307;8-10;1600-1800;8-10;1400-1500;0;;;;;;;2;5,3;;;;;;;;9.539;
B3;1080;Bruhalnik pred Markovim spodmolom;1,7 - brezno občasni izvir ob stalnem toku;560;15;21;8-10;1800-2000;8-10;1600-1800;0;;;;;;;3;5,9;6,1;6,5;;;;;;10.085;
B3;1086;Fantovska jama;5,1 - spodmol, kevderc;630;4;16;8-10;1300-1400;8-10;1300-1400;1;2,35;;;;;;0;;;;;;;;;10.100;
B3;1087;Ajdovska jama;5,2 - vodoravna jama;615;14;36;8-10;1300-1400;8-10;1300-1400;1;2,35;;;;;;0;;;;;;;;;10.100;
B3;1089;Javorska jama;1,1 - jama stalni izvir;640;4;36;8-10;1300-1400;8-10;1200-1300;0;;;;;;;1;5;;;;;;;;10.100;
B3;1092;Jama pri Jazbinah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;680;36;66;8-10;1300-1400;8-10;1200-1300;0;;;;;;;1;4,5;;;;;;;;10.100;
B3;1094;Jama na Prevali 1;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;450;57;60;10-12;1500-1600;10-12;1500-1600;2;1,9;2,25;;;;;0;;;;;;;;;10.085;
B3;1132;Brimšca;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;542;100;160;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;10.950;
B3;1142;Štefakova pečina;5,2 - vodoravna jama;540;22;128;8-10;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;10.950;
B3;1155;Jama v Gaberju;5,5 - stopnjasto brezno, poševno brezno;530;20;20;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;10.950;
B3;1157;Sveta jama;4,2 - jama s stalnim tokom;418;44;231;10-12;1300-1400;10-12;1300-1400;1;2,45;;;;;;0;;;;;;;;;13.990;
B3;1167;Jama nad Šinkovičevo žago;4,2 - jama s stalnim tokom;376;22;85;8-10;2000-2600;8-10;2000-2600;1;1,77;;;;;;0;;;;;;;;;9.605;
B3;1220;Ledena jama v Smrekovem žlebu;6,2 - jama z občasnim ledom;980;17;25;6-8;1800-2000;6-8;1600-1800;1;5,5;;;;;;0;;;;;;;;;9.445;
B3;1241;Konasnica;5,2 - vodoravna jama;1035;29;210;4-6;2000-2600;6-8;1800-2000;2;2,5;2,88;;;;;2;4,15;5,7;;;;;;;8.234;
B3;1254;Snežna jama na planini Arto;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama/ 6,1 -jama s stalnim ledom;1504;75;1327;2-4;1800-2000;2-4;1600-1800;3;2,2;2,97;3,83;;;;1;5,73;;;;;;;;6.204;
B3;1255;Snežnica na Raduhi;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1630;177;300;2-4;1600-1800;2-4;1600-1800;0;;;;;;;1;5,73;;;;;;;;6.204;
B3;1258;Žagarska zijalka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;960;60;100;6-8;1600-1800;6-8;1800-2000;0;;;;;;;1;5,73;;;;;;;;6.204;
B3;1270;Mali džot;5,2 - vodoravna jama;165;3;25;10-12;1300-1400;10-12;1300-1400;1;2,45;;;;;;0;;;;;;;;;11.720;
B3;1272;Zjot v Sebetihu;5,6 - poševno in stopnjasto brezno;445;92;120;8-10;1400-1500;8-10;1400-1500;2;1,76;5;;;;;0;;;;;;;;;11.720;
B3;1301;Ledena jama;5,5 - stopnjasto brezno, poševno brezno;710;41;41;6-8;1500-1600;8-10;1500-1600;2;1,76;2,97;;;;;0;;;;;;;;;11.295;
B3;1366;Zijavka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;540;90;191;8-10;1400-1500;8-10;1400-1500;2;1,76;7;;;;;0;;;;;;;;;10.100;
B3;1518;Rožička jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;705;58;80;8-10;2000-2600;8-10;2000-2600;1;1,73;;;;;;2;6,8;7,5;;;;;;;10.085;
B4;1521;Brezen za Hramom;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;688;19;102;8-10;2000-2600;8-10;1800-2000;1;1,73;;;;;;2;6,8;7,5;;;;;;;;
B4;1524;Šmihelske ponikve;2,1;590;5;97;8-10;2000-2600;8-10;1800-2000;1;1,73;;;;;;1;6,05;;;;;;;;;
B4;1525;Stranske ponikve;2,1;608;30;132;8-10;2000-2600;8-10;1800-2000;0;;;;;;;1;6,8;;;;;;;;;
B4;1527;Urški spodmol;5,3;638;10;40;8-10;1600-1800;8-10;1600-1800;1;1,88;;;;;;0;;;;;;;;;;
B4;1545;Krhnetova polšna;5,6;370;16;18;8-10;1300-1400;8-10;1300-1400;1;5,00;;;;;;0;;;;;;;;;;
B4;1562;Ovčarski spodmol pri Orehku;5,3;660;7;28;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B4;1568;Jama 2 ob Košanski poti;5,3;570;17;58;8-10;1800-2000;8-10;1600-1800;1;1,90;2,97;;;;;0;;;;;;;;;;
B4;1608;Kotova jama;5,3;587;45;190;8-10;1800-2000;8-10;1800-2000;2;1,58;2,97;;;;;0;;;;;;;;;;
B4;1629;Medvedja jama;5,3;580;28;122;8-10;1800-2000;8-10;1800-2000;1;1,58;;;;;;0;;;;;;;;;;
B4;1659;Jama v lozi pri Orehku;5,3;570;27;74;8-10;1800-2000;8-10;1600-1800;2;2,45;2,97;;;;;2;5,9;6,5;;;;;;;;
B4;1676;Jama ob poti na Komno;5,2;1305;3;17;4-6;2600-3200;4-6;3200-4000;0;;;;;;;1;5,35;;;;;;;;;
B4;1741;Jama za Hramom;5,3;658;10;25;8-10;2000-2600;8-10;1800-2000;1;1,73;;;;;;1;6,80;;;;;;;;;
B4;1757;Lešanov brezen;5,6;587;85;57;8-10;2000-2600;8-10;1800-2000;0;;;;;;;1;7,50;;;;;;;;;
B4;1761;Revenov brezen;5,3;624;1236;95;8-10;2000-2600;8-10;2000-2600;0;;;;;;;2;5,55;6;;;;;;;;
B4;1765;Krištofov brezen;5,5;580;29;29;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,5;;;;;;;;;
B4;1769;Kmetova jama;5,3;570;7;15;8-10;2000-2600;8-10;1800-2000;1;2,97;;;;;;0;;;;;;;;;;
B4;1806;Mausarjeva jama;5,3;416;9;9;8-10;1300-1400;8-10;1300-1400;1;2,45;;;;;;0;;;;;;;;;;
B4;1824;Pugljevo brezno;5,6;800;107;142;6-8;1500-1600;6-8;1400-1500;1;5,00;;;;;;0;;;;;;;;;;
B4;1827;Snežnica pod Korenom;6,6;1881;11;25;2-4;2000-2600;2-4;2000-2600;0;;;;;;;1;6,09;;;;;;;;;
B4;1955;Čukova jama;5,6 - poševno in stopnjasto brezno;352;250;431;10-12;1500-1600;10-12;1400-1500;1;2,25;;;;;;0;;;;;;;;;;
B4;2000;Anžetova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;592;82;220;8-10;1800-2000;8-10;1600-1800;1;1,76;;;;;;0;;;;;;;;;;
B4;2041;Jama za Hudim lazom 1;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;490;6;32;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B4;2044;Jama pod vrhom Lubnika;5,2 - vodoravna jama;1010;2;9;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;3;3,50;5,75;6,60;;;;;;;
B4;2059;Božakovska jama;1,1 - jama stalni izvir;147;3;155;10-12;1100-1200;10-12;1200-1300;1;2,45;;;;;;0;;;;;;;;;;
B4;2062;Slugov brezen;5,4 - brezno;440;41;123;8-10;1600-1800;8-10;1600-1800;1;2,69;;;;;;0;;;;;;;;;;
B4;2075;Brezno ob cesti Laze-Logatec;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;331;21;82;8-10;1800-2000;8-10;1600-1800;1;1,58;;;;;;1;7,50;;;;;;;;;
B4;2100;Brezen v Jelenjah;;1115;54;110;4-6;2000-2600;6-8;2000-2600;1;2,97;;;;;;0;;;;;;;;;;
B4;2122;Gredelca;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;540;26;46;8-10;1500-1600;8-10;1500-1600;1;1,84;;;;;;0;;;;;;;;;;
B4;2191;Skednevnica;5,2 - vodoravna jama;520;12;70;8-10;1400-1500;8-10;1500-1600;1;1,76;;;;;;0;;;;;;;;;;
B4;2205;Jama blizu Mrzle jame pri Ložu;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;615;3;25;6-8;1600-1800;8-10;1500-1600;1;1,84;;;;;;0;;;;;;;;;;
B4;2217;Jama na Raduhi;5,2 - vodoravna jama;1886;6;15;2-4;1800-2000;2-4;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B4;2298;Brezno na Murnovem;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1050;20;55;4-6;1800-2000;4-6;1800-2000;1;2,97;;;;;;0;;;;;;;;;;
B4;2299;Jama na Babi;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1100;12;65;4-6;1800-2000;4-6;1800-2000;1;2,97;;;;;;0;;;;;;;;;;
B4;2313;Jama v Adamičevem talu;5,1 - spodmol, kevderc;416;9;35;8-10;1300-1400;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
B4;2327;Jama 2 na Jurcetovih Percah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;408;24;42;8-10;1500-1600;8-10;1500-1600;1;2,93;;;;;;1;6,60;;;;;;;;;
B5;2330;Brezno pri Medvedovi konti;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1397;142;152;2-4;2000-2600;4-6;2000-2600;0;;;;;;;1;5,85;;;;;;;;;
B5;2336;Podmol pri Zavinki jami;5,1 - spodmol, kevderc;650;2;8;8-10;1800-2000;8-10;1600-1800;1;1,90;;;;;;0;;;;;;;;;;
B5;2409;Trontljevo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;423;32;107;8-10;1400-1500;8-10;1500-1600;1;7,00;;;;;;0;;;;;;;;;;
B5;2490;Logaška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;513;62;450;8-10;1800-2000;8-10;1600-1800;1;1,77;;;;;;1;7,50;;;;;;;;;
B5;2503;Korančevka;5,2 - vodoravna jama;1010;10;54;4-6;1500-1600;4-6;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B5;2553;Vdamčeva jama;5,6 - poševno in stopnjasto brezno;500;35;35;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B5;2558;Zvezdica;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;766;45;80;6-8;1600-1800;6-8;1600-1800;3;1,76;5,00;7,00;;;;0;;;;;;;;;;
B5;2566;Prepadna jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;514;151;1557;8-10;1600-1800;8-10;1600-1800;1;5,00;;;;;;0;;;;;;;;;;
B5;2610;F 8 (Kanin);5,6 - poševno in stopnjasto brezno;1690;18;18;2-4;3200-4000;2-4;3200-4000;1;3,32;;;;;;0;;;;;;;;;;
B5;2678;Železna jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;344;26;86;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B5;2701;Jama severno od ledenika;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;940;75;185;6-8;1600-1800;6-8;1600-1800;4;1,76;5,00;5,50;7,00;;;1;6,00;;;;;;;;;
B5;2741;Črna jama pri Črnem Potoku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;629;53;234;8-10;1600-1800;8-10;1500-1600;3;2,97;5,00;7,00;;;;0;;;;;;;;;;
B5;2806;Bolterjev zdenc ob Avščku;1,1 - jama stalni izvir;320;0;20;10-12;2000-2600;10-12;2000-2600;0;;;;;;;1;4,90;;;;;;;;;
B5;2815;Strmška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;605;34;62;8-10;1600-1800;8-10;1600-1800;2;1,76;1,80;;;;;0;;;;;;;;;;
B5;2883;Martinska jama pri Markovščini;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;562;120;1004;8-10;1600-1800;10-12;1600-1800;1;2,25;;;;;;0;;;;;;;;;;
B5;2884;Wicherle;5,1 - spodmol, kevderc;420;20;127;8-10;1600-1800;8-10;1600-1800;2;1,76;5,00;;;;;0;;;;;;;;;;
B5;2892;Lisičina v Nartu;5,2 - vodoravna jama;483;11;78;8-10;1800-2000;8-10;1800-2000;1;1,86;;;;;;0;;;;;;;;;;
B5;2903;Čendova jama;2,1 - jama stalni ponor;570;126;1040;8-10;2000-2600;8-10;2000-2600;1;3,60;;;;;;1;6,00;;;;;;;;;
B5;2916;Jama v Trepetličju;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;544;28;47;8-10;1800-2000;8-10;1600-1800;2;1,58;2,97;;;;;1;7,50;;;;;;;;;
B5;2932;Pečovska parna;1,2-jama občasni izvir, bruhalnik;530;23;172;6-8;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B5;2936;Jama v Lepi dolini;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;340;15;43;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B5;3000;Pološka jama;"4,2-jama s stalnim tokom; 5,4-brezno";730;704;10800;6-8;2600-3200;8-10;2600-3200;1;3,32;;;;;;1;5,70;;;;;;;;;
B5;3096;Taborišče;5,4-brezno;510;7;38;8-10;1500-1600;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
B5;3142;Pavlijeva luknja;5,6-poševno in stopnjasto brezno;595;50;122;8-10;1200-1300;8-10;1200-1300;0;;;;;;;1;3,88;;;;;;;;;
B5;3143;Brezno v Suhem vrhu;5,5-stopnjasto brezno, poševno brezno;544;7;7;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B5;3161;Rauhova jama;4,1-jama z bazeni nakapane vode;606;28;68;8-10;1500-1600;8-10;1400-1500;1;5,0;;;;;;0;;;;;;;;;;
B5;3171;Pavletova jama;5,2-vodoravna jama;665;4;15;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B5;3189;Jama Podrošce;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;658;76;417;8-10;1800-2000;8-10;1600-1800;1;1,76;;;;;;0;;;;;;;;;;
B5;3191;Huda luknja pri Radljah;4,2-jama s stalnim tokom;450;12;127;8-10;1200-1300;8-10;1200-1300;0;;;;;;;1;3,88;;;;;;;;;
B5;3192;Ovčje peklo nad Radljami;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;520;26;44;8-10;1200-1300;8-10;1200-1300;0;;;;;;;1;3,88;;;;;;;;;
B5;3231;Pečina na Plešivici;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;400;40;140;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
B5;3271;Spodnja Tomičeva jama;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;422;27;155;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B5;3273;Podreška jama;5,1-spodmol, kevderc;315;0;15;8-10;1300-1400;10-12;1300-1400;2;2,50;2,50;;;;;1;5,20;;;;;;;;;
B5;3310;Blatni rov pod južnim vrhom Tisnika;5,2-vodoravna jama;641;20;30;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B5;3311;Jama Školjka;5,2-vodoravna jama;552;5;44;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B6;3313;Lisičja luknja pri Koprivnikarju;5,2 - vodoravna jama;690;3;46;6-8;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B6;3352;Brezno nad Podblico;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;850;35;98;6-8;1800-2000;6-8;1600-1800;1;2,50;;;;;;2;5,60;5,70;;;;;;;;
B6;3402;Mrzla jama na Javornikih;6,3 - jama s snegom;960;53;168;6-8;2000-2600;6-8;1800-2000;2;1,76;1,80;;;;;0;;;;;;;;;;
B6;3412;Jama na južnem pobočju Malega Snežnika;5,1 - spodmol, kevderc;1642;10;20;2-4;2600-3200;2-4;2000-2600;1;1,88;;;;;;0;;;;;;;;;;
B6;3413;Snežnica ob Jurjevi cesti;6,6 - brezno s snegom;1055;28;45;4-6;2000-2600;6-8;2000-2600;3;1,88;5,83;6,00;;;;0;;;;;;;;;;
B6;3456;Hlastejeva jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;612;20;63;8-10;1400-1500;8-10;1300-1400;1;2,97;;;;;;1;6,50;;;;;;;;;
B6;3457;Brezno pri gamsovi glavici;4,2 - jama s stalnim tokom;1605;817;6000;2-4;2600-3200;2-4;2600-3200;0;;;;;;;1;6,20;;;;;;;;;
B6;3467;Osoletova jama;4,2 - jama s stalnim tokom;650;260;378;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B6;3488;Rdečka jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;858;17;67;6-8;1300-1400;6-8;1300-1400;1;2,20;;;;;;0;;;;;;;;;;
B6;3495;Paška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;459;11;51;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B6;3497;Brdajsova jama;5,2 - vodoravna jama;651;6;30;8-10;1300-1400;8-10;1300-1400;0;;;;;;;1;5,20;;;;;;;;;
B6;3520;Neskončno brezno;5,6 - poševno in stopnjasto brezno;740;117;117;6-8;1400-1500;8-10;1400-1500;1;2,97;;;;;;3;4,50;8,50;9,09;;;;;;;
B6;3627;Veluja peč 2;5,2 - vodoravna jama;500;3;27;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B6;3629;Veluja peč 4;5,2 - vodoravna jama;500;1;11;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B6;3827;Brezno 1 nad Jelenjo drago;5,5 - stopnjasto brezno, poševno brezno;1142;25;25;4-6;2000-2600;4-6;2000-2600;2;5,00;5,30;;;;;0;;;;;;;;;;
B6;3854;Jeralovo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;530;80;300;8-10;1600-1800;8-10;1600-1800;1;3,39;;;;;;2;5,70;5,85;;;;;;;;
B6;3882;Podstenska jama;2,4 - jama občasni ponor ob občasnem toku;556;60;3376;6-8;1500-1600;8-10;1500-1600;1;5,00;;;;;;0;;;;;;;;;;
B6;3883;Spodmol v Risovcu;5,1 - spodmol, kevderc;532;5;8;8-10;1800-2000;8-10;1600-1800;1;1,86;;;;;;0;;;;;;;;;;
B6;3887;Vančeva jama;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;571;35;157;8-10;1500-1600;8-10;1500-1600;3;1,76;5,00;7,00;;;;0;;;;;;;;;;
B6;3893;Markov Štangovc;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;580;30;99;8-10;1300-1400;8-10;1300-1400;1;2,10;;;;;;1;5,95;;;;;;;;;
B6;3923;Klepčevo brezno;5,6-poševno in stopnjasto brezno;550;67;67;8-10;1600-1800;8-10;1500-1600;2;5,00;7,00;;;;;0;;;;;;;;;;
B6;4028;S 13 (Kanin);5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;2100;66;126;0-2;3200-4000;2-4;3200-4000;0;;;;;;;1;5,90;;;;;;;;;
B6;4082;Jama v Suhi rebri;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;815;84;425;6-8;2000-2600;6-8;1800-2000;1;1,88;;;;;;0;;;;;;;;;;
B6;4209;Brlog na Rimskem;4,2-jama s stalnim tokom;554;35;401;8-10;1600-1800;8-10;1500-1600;1;5,00;;;;;;0;;;;;;;;;;
B6;4210;Remergrund 1;4,2-jama s stalnim tokom;500;39;204;8-10;1500-1600;8-10;1500-1600;1;7,00;;;;;;0;;;;;;;;;;
B6;4246;Jama na Prevalci;4,1-jama z bazeni nakapane vode;632;19;69;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B6;4247;Končanova jama;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;659;0;0;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
B6;4272;Brezno 1 pri Barki;5.6-poševno in stopnjasto brezno;1145;28;45;4-6;2000-2600;4-6;1800-2000;1;2,97;;;;;;0;;;;;;;;;;
B6;4296;Brezno pri Stanišču;6,4-brezno s stalnim ledom;1291;54;74;4-6;2600-3200;4-6;2000-2600;1;5,83;;;;;;0;;;;;;;;;;
B6;4380;Jama pri Pruhu;5,2-vodoravna jama;295;6;107;8-10;1100-1200;10-12;1000-1100;0;;;;;;;1;4,00;;;;;;;;;
B6;4425;Žegnana jama;5,3 - brezno z jamo , jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;510;32;90;8-10;1400-1500;8-10;1400-1500;0;;;;;;;1;7,05;;;;;;;;;
B6;4446;Brezno v konti južno od Mangartske koče;6,6-brezno s snegom;1800;16;16;2-4;2600-3200;2-4;2600-3200;0;;;;;;;1;6,10;;;;;;;;;
B6;4451;Jama v Malenščah;1,2-jama občasni izvir, bruhalnik;680;2;60;8-10;2600-3200;8-10;2000-2600;1;3,32;;;;;;2;6,15;6,43;;;;;;;;
B6;4462;Spodmol v Brezovcu;5,1-spodmol, kevderc;1280;3;10;4-6;2000-2600;4-6;2000-2600;1;2,50;;;;;;2;5,70;6,30;;;;;;;;
